<class 'str'>
<class 'int'>
list[str]
list[int]
<class 'datetime.datetime'>
<class 'datetime.datetime'>
SpecialTypus.DELAYED
SpecialTypus.DELAYED
         267973 function calls (258966 primitive calls) in 0.227 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    177/1    0.000    0.000    0.227    0.227 {built-in method builtins.exec}
        1    0.000    0.000    0.227    0.227 spec_data.py:1(<module>)
   218/11    0.001    0.000    0.225    0.020 <frozen importlib._bootstrap>:1002(_find_and_load)
   218/11    0.001    0.000    0.225    0.020 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
   210/13    0.001    0.000    0.221    0.017 <frozen importlib._bootstrap>:659(_load_unlocked)
   175/11    0.000    0.000    0.220    0.020 <frozen importlib._bootstrap_external>:844(exec_module)
   288/14    0.000    0.000    0.218    0.016 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        1    0.000    0.000    0.172    0.172 dict_helper.py:1(<module>)
       23    0.000    0.000    0.120    0.005 __init__.py:1(<module>)
        1    0.000    0.000    0.094    0.094 conversion.py:1(<module>)
        1    0.000    0.000    0.074    0.074 deprecation.py:1(<module>)
        1    0.000    0.000    0.073    0.073 __init__.py:13(<module>)
        1    0.000    0.000    0.071    0.071 icecream.py:14(<module>)
    48/31    0.000    0.000    0.066    0.002 {built-in method builtins.__import__}
      327    0.001    0.000    0.063    0.000 re.py:289(_compile)
      211    0.000    0.000    0.062    0.000 re.py:250(compile)
      183    0.001    0.000    0.061    0.000 sre_compile.py:759(compile)
      175    0.001    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:916(get_code)
   151/87    0.000    0.000    0.047    0.001 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        1    0.000    0.000    0.044    0.044 lexer.py:568(__call__)
        1    0.000    0.000    0.044    0.044 lexer.py:511(process_tokendef)
    75/30    0.000    0.000    0.044    0.001 lexer.py:467(_process_state)
      103    0.000    0.000    0.043    0.000 lexer.py:420(_process_regex)
      216    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      198    0.000    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
      198    0.001    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
      474    0.003    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
      175    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
      183    0.000    0.000    0.033    0.000 sre_parse.py:937(parse)
  636/183    0.002    0.000    0.032    0.000 sre_parse.py:435(_parse_sub)
 1183/195    0.012    0.000    0.031    0.000 sre_parse.py:493(_parse)
      175    0.030    0.000    0.030    0.000 {built-in method io.open_code}
      183    0.000    0.000    0.026    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.024    0.024 base_events.py:1(<module>)
      953    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      958    0.023    0.000    0.023    0.000 {built-in method nt.stat}
